,online_order,book_table,rating,votes,rest_type,cuisines,cost,location
0,Yes,Yes,4.1,775,Casual Dining,North Indian,800.0,Banashankari
1,Yes,No,4.1,787,Casual Dining,Chinese,800.0,Banashankari
2,Yes,No,3.8,918,Cafe,Cafe,800.0,Banashankari
3,No,No,3.7,88,Quick Bites,South Indian,300.0,Banashankari
4,No,No,3.8,166,Casual Dining,North Indian,600.0,Banashankari
5,Yes,No,3.8,286,Casual Dining,North Indian,600.0,Banashankari
6,No,No,3.6,8,Casual Dining,North Indian,800.0,Banashankari
7,Yes,Yes,4.6,2556,Casual Dining,Pizza,600.0,Banashankari
8,Yes,No,4.0,324,Cafe,Cafe,700.0,Banashankari
9,Yes,No,4.2,504,Cafe,Cafe,550.0,Banashankari
10,Yes,No,4.1,402,Cafe,Cafe,500.0,Banashankari
11,Yes,Yes,4.2,150,Cafe,Cafe,600.0,Banashankari
12,Yes,Yes,4.2,164,Cafe,Cafe,500.0,Banashankari
13,No,No,4.0,424,Cafe,Cafe,450.0,Banashankari
14,Yes,No,3.8,918,Cafe,Cafe,800.0,Banashankari
15,Yes,No,3.8,90,Cafe,Cafe,650.0,Banashankari
16,Yes,No,3.9,133,Cafe,Cafe,800.0,Banashankari
17,Yes,No,3.8,144,Cafe,Chinese,700.0,Banashankari
18,No,No,3.9,93,Cafe,Cafe,300.0,Banashankari
19,Yes,No,3.1,13,Cafe,Cafe,400.0,Banashankari
20,Yes,No,3.0,62,Cafe,Cafe,400.0,Banashankari
21,Yes,No,3.7,180,Cafe,Cafe,500.0,Banashankari
22,No,No,3.6,28,Cafe,Cafe,900.0,Banashankari
23,Yes,No,3.6,62,Quick Bites,Italian,600.0,Banashankari
24,No,No,3.7,31,Cafe,Cafe,300.0,Banashankari
25,No,No,3.2,11,Cafe,Cafe,600.0,Banashankari
26,Yes,No,3.8,75,Cafe,Cafe,200.0,Banashankari
27,No,No,3.3,4,Cafe,Cafe,500.0,Banashankari
28,No,No,3.3,23,Cafe,Cafe,550.0,Banashankari
29,No,No,3.8,148,Casual Dining,North Indian,550.0,Banashankari
30,Yes,No,4.0,219,Cafe,Cafe,600.0,Banashankari
31,Yes,No,2.8,506,Quick Bites,North Indian,500.0,Banashankari
32,Yes,No,3.9,35,Delivery,Bakery,500.0,Banashankari
33,Yes,No,3.9,172,Delivery,Pizza,750.0,Banashankari
34,Yes,No,4.2,415,Quick Bites,North Indian,500.0,Banashankari
35,Yes,No,3.9,230,Delivery,Biryani,650.0,Banashankari
36,Yes,No,2.8,91,Quick Bites,North Indian,400.0,Banashankari
37,Yes,No,4.2,1647,Casual Dining,Chinese,600.0,Banashankari
38,Yes,No,4.4,4884,Casual Dining,North Indian,750.0,Banashankari
39,Yes,No,4.0,17,Quick Bites,South Indian,150.0,Banashankari
40,Yes,No,3.8,133,Quick Bites,Street Food,200.0,Banashankari
41,No,No,3.9,28,Mess,South Indian,300.0,Banashankari
42,Yes,No,3.9,286,Quick Bites,Burger,500.0,Banashankari
43,Yes,No,3.9,540,Quick Bites,Pizza,800.0,Banashankari
44,Yes,Yes,4.6,2556,Casual Dining,Pizza,600.0,Banashankari
45,No,No,3.8,36,Delivery,North Indian,400.0,Banashankari
46,Yes,No,3.6,244,Quick Bites,North Indian,300.0,Banashankari
47,Yes,No,4.0,804,Casual Dining,North Indian,450.0,Banashankari
48,Yes,No,3.7,679,Casual Dining,Chinese,850.0,Banashankari
49,Yes,No,3.1,245,Quick Bites,North Indian,300.0,Banashankari
50,No,No,3.7,21,Quick Bites,North Indian,450.0,Banashankari
51,Yes,No,4.1,28,Quick Bites,Fast Food,150.0,Banashankari
52,No,No,4.3,345,Dessert Parlor,Ice Cream,400.0,Banashankari
53,Yes,No,4.0,618,Casual Dining,Biryani,750.0,Banashankari
54,No,No,4.0,1047,Quick Bites,Italian,450.0,Banashankari
55,Yes,No,3.9,627,Delivery,Healthy Food,450.0,Banashankari
56,Yes,No,3.8,104,Quick Bites,Biryani,300.0,Banashankari
57,Yes,Yes,4.2,354,Casual Dining,Asian,800.0,Banashankari
58,No,No,3.6,55,Quick Bites,Fast Food,200.0,Banashankari
59,Yes,No,3.7,17,Dessert Parlor,Desserts,400.0,Banashankari
60,No,No,4.2,244,Casual Dining,Italian,800.0,Banashankari
61,Yes,Yes,3.6,163,Casual Dining,Goan,800.0,Banashankari
62,Yes,No,3.8,58,Quick Bites,Chinese,150.0,Banashankari
63,No,Yes,4.0,808,Casual Dining,North Indian,850.0,Banashankari
64,No,No,3.7,78,Bakery,Bakery,150.0,Banashankari
65,Yes,No,4.1,1720,Quick Bites,North Indian,400.0,Banashankari
66,Yes,No,3.6,34,Quick Bites,South Indian,100.0,Banashankari
67,No,No,4.1,868,Pub,Continental,1200.0,Banashankari
68,No,No,3.8,39,Bakery,Bakery,300.0,Banashankari
69,Yes,No,3.2,71,Quick Bites,Burger,600.0,Banashankari
70,Yes,No,3.6,6,Takeaway,Italian,500.0,Banashankari
71,No,No,4.1,520,Quick Bites,Biryani,300.0,Banashankari
72,No,No,2.9,84,Delivery,Chinese,700.0,Banashankari
73,No,No,3.6,299,Quick Bites,Fast Food,300.0,Banashankari
74,Yes,No,4.1,558,Quick Bites,South Indian,150.0,Banashankari
75,Yes,No,3.6,28,Quick Bites,Biryani,300.0,Banashankari
76,No,No,3.7,22,Quick Bites,Fast Food,500.0,Banashankari
77,No,No,3.8,39,Quick Bites,South Indian,350.0,Banashankari
78,Yes,No,3.8,153,Fine Dining,Seafood,500.0,Banashankari
79,Yes,No,4.2,146,Beverage Shop,Beverages,400.0,Banashankari
80,No,No,3.5,14,Sweet Shop,Mithai,200.0,Banashankari
81,No,No,3.8,42,Casual Dining,North Indian,700.0,Banashankari
82,No,No,3.7,0,Quick Bites,South Indian,100.0,Banashankari
83,No,No,4.0,66,Bakery,Bakery,300.0,Banashankari
84,Yes,No,4.4,4401,Casual Dining,Biryani,600.0,Banashankari
85,No,No,3.5,31,Quick Bites,North Indian,200.0,Banashankari
86,No,No,3.5,7,Dessert Parlor,Desserts,500.0,Banashankari
87,No,No,3.7,21,Quick Bites,Biryani,250.0,Banashankari
88,No,No,3.7,0,Delivery,Bakery,500.0,Banashankari
89,No,No,3.7,0,Takeaway,South Indian,400.0,Banashankari
90,No,No,3.7,0,Mess,South Indian,200.0,Banashankari
91,No,No,3.2,9,Dessert Parlor,Ice Cream,300.0,Banashankari
92,No,No,2.6,283,Casual Dining,North Indian,600.0,Banashankari
93,No,No,3.3,62,Bar,South Indian,800.0,Banashankari
94,No,No,3.8,64,Quick Bites,Fast Food,250.0,Banashankari
95,No,No,3.7,39,Casual Dining,North Indian,950.0,Banashankari
96,No,No,3.7,65,Quick Bites,Fast Food,300.0,Banashankari
97,Yes,No,3.8,71,Dessert Parlor,Ice Cream,400.0,Banashankari
98,No,No,3.5,52,Quick Bites,South Indian,300.0,Banashankari
99,No,No,3.7,130,Quick Bites,South Indian,200.0,Banashankari
100,No,No,3.5,10,Quick Bites,South Indian,300.0,Banashankari
101,No,No,3.8,45,Takeaway,Bakery,400.0,Banashankari
102,No,No,3.2,11,Cafe,Cafe,600.0,Banashankari
103,No,No,3.5,13,Bakery,Bakery,300.0,Banashankari
104,No,No,3.4,8,Quick Bites,Biryani,300.0,Banashankari
105,No,No,3.7,0,Takeaway,Beverages,250.0,Banashankari
106,No,No,3.2,9,Quick Bites,Biryani,300.0,Banashankari
107,No,No,3.2,4,Quick Bites,North Indian,300.0,Banashankari
108,No,No,3.1,29,Quick Bites,North Indian,150.0,Banashankari
109,No,No,3.4,8,Bakery,Bakery,400.0,Banashankari
110,No,No,3.7,0,Dessert Parlor,Mithai,150.0,Banashankari
111,No,No,3.7,0,Bakery,Bakery,300.0,Banashankari
112,No,No,3.7,0,Quick Bites,North Indian,200.0,Banashankari
113,No,No,3.7,0,Takeaway,South Indian,150.0,Banashankari
114,No,No,3.7,0,Dessert Parlor,Ice Cream,150.0,Banashankari
115,No,No,3.7,0,Quick Bites,Mangalorean,250.0,Banashankari
116,No,No,3.1,30,Bar,Chinese,1000.0,Banashankari
117,Yes,No,4.1,201,Quick Bites,South Indian,300.0,Banashankari
118,No,No,3.3,7,Quick Bites,Mangalorean,200.0,Banashankari
119,No,No,3.1,6,Quick Bites,Fast Food,100.0,Banashankari
120,No,No,3.3,17,Quick Bites,Street Food,200.0,Banashankari
121,No,No,2.9,25,Dessert Parlor,Ice Cream,200.0,Banashankari
122,No,No,3.7,0,Delivery,South Indian,400.0,Banashankari
123,No,No,3.7,0,Quick Bites,Biryani,350.0,Banashankari
124,No,No,3.3,8,Delivery,South Indian,100.0,Banashankari
125,No,No,3.7,0,Quick Bites,Rolls,150.0,Banashankari
126,No,No,3.7,0,Quick Bites,South Indian,150.0,Banashankari
127,No,No,3.7,0,Beverage Shop,Beverages,200.0,Banashankari
128,No,No,3.7,0,Beverage Shop,Beverages,150.0,Banashankari
129,No,No,3.7,0,Takeaway,South Indian,400.0,Banashankari
130,No,No,3.7,0,Quick Bites,South Indian,150.0,Banashankari
131,No,No,3.7,0,Quick Bites,Andhra,250.0,Banashankari
132,No,No,3.7,0,Quick Bites,Biryani,250.0,Banashankari
133,No,No,3.7,0,Quick Bites,South Indian,150.0,Banashankari
134,No,No,3.7,0,Confectionery,Desserts,200.0,Banashankari
135,No,No,3.7,0,Quick Bites,Healthy Food,350.0,Banashankari
136,No,No,3.7,0,Quick Bites,South Indian,300.0,Banashankari
137,Yes,No,4.0,771,Casual Dining,South Indian,450.0,Banashankari
138,No,No,3.0,98,Bar,North Indian,800.0,Banashankari
139,Yes,No,3.9,47,Quick Bites,South Indian,200.0,Banashankari
140,Yes,Yes,4.1,175,Casual Dining,South Indian,500.0,Banashankari
141,Yes,No,3.8,58,Quick Bites,South Indian,300.0,Banashankari
142,Yes,No,3.8,540,Casual Dining,North Indian,650.0,Banashankari
143,Yes,No,3.8,124,Quick Bites,Chinese,400.0,Banashankari
144,Yes,No,4.1,340,Takeaway,North Indian,500.0,Banashankari
145,Yes,No,3.8,505,Quick Bites,Burger,450.0,Banashankari
146,Yes,No,4.1,438,Dessert Parlor,Desserts,500.0,Banashankari
147,Yes,No,3.7,264,Casual Dining,North Indian,750.0,Banashankari
148,Yes,No,3.9,169,Beverage Shop,Beverages,150.0,Banashankari
149,Yes,No,3.0,67,Quick Bites,North Indian,250.0,Banashankari
150,Yes,No,3.7,97,Quick Bites,North Indian,350.0,Banashankari
151,Yes,No,3.3,12,Takeaway,Biryani,300.0,Banashankari
152,Yes,No,3.3,12,Quick Bites,Biryani,300.0,Banashankari
153,Yes,No,3.6,195,Casual Dining,Chinese,800.0,Banashankari
154,Yes,No,3.3,13,Dessert Parlor,Desserts,300.0,Banashankari
155,Yes,No,4.6,228,Cafe,Cafe,400.0,Banashankari
156,Yes,No,4.1,70,Quick Bites,South Indian,150.0,Banashankari
157,Yes,Yes,4.1,364,Casual Dining,Thai,1200.0,Banashankari
158,Yes,No,3.7,107,Beverage Shop,Beverages,150.0,Banashankari
159,Yes,No,3.2,167,Quick Bites,South Indian,300.0,Banashankari
160,Yes,No,4.0,115,Sweet Shop,Mithai,400.0,Banashankari
161,Yes,No,3.7,27,Takeaway,Italian,400.0,Banashankari
162,Yes,No,3.5,57,Quick Bites,Biryani,200.0,Banashankari
163,Yes,No,3.8,120,Quick Bites,North Indian,250.0,Banashankari
164,Yes,No,3.8,15,Bakery,Bakery,400.0,Banashankari
165,Yes,No,4.2,64,Quick Bites,Salad,500.0,Banashankari
166,Yes,No,3.6,66,Quick Bites,South Indian,150.0,Banashankari
167,Yes,No,3.0,290,Quick Bites,North Indian,450.0,Banashankari
168,Yes,No,4.1,233,Quick Bites,Street Food,200.0,Banashankari
169,Yes,No,3.8,115,Quick Bites,Fast Food,250.0,Banashankari
170,Yes,No,3.1,119,Casual Dining,Biryani,700.0,Banashankari
171,Yes,Yes,3.9,291,Cafe,Cafe,650.0,Banashankari
172,Yes,No,4.5,155,Beverage Shop,Beverages,300.0,Banashankari
173,Yes,No,4.1,305,Casual Dining,Italian,700.0,Banashankari
174,Yes,No,3.6,46,Quick Bites,Fast Food,500.0,Banashankari
175,Yes,No,3.5,45,Quick Bites,Bengali,350.0,Banashankari
176,Yes,No,3.9,38,Dessert Parlor,Ice Cream,150.0,Banashankari
177,Yes,No,3.9,441,Quick Bites,South Indian,400.0,Banashankari
178,Yes,No,3.9,25,Quick Bites,South Indian,100.0,Banashankari
179,Yes,No,4.3,630,Quick Bites,North Indian,200.0,Banashankari
180,Yes,No,3.8,25,Quick Bites,South Indian,150.0,Banashankari
181,Yes,No,3.9,160,Quick Bites,Arabian,300.0,Banashankari
182,Yes,No,4.2,287,Quick Bites,North Indian,350.0,Banashankari
183,Yes,No,3.6,11,Quick Bites,South Indian,100.0,Banashankari
184,Yes,No,4.1,402,Cafe,Cafe,500.0,Banashankari
185,Yes,No,3.8,469,Casual Dining,North Indian,750.0,Banashankari
186,Yes,No,3.3,511,Casual Dining,BBQ,550.0,Banashankari
187,Yes,No,3.9,57,Quick Bites,South Indian,200.0,Banashankari
188,Yes,No,3.4,14,Quick Bites,South Indian,300.0,Banashankari
189,Yes,No,3.9,264,Quick Bites,South Indian,200.0,Banashankari
190,Yes,No,3.0,62,Cafe,Cafe,400.0,Banashankari
191,Yes,No,3.8,693,Casual Dining,Pizza,750.0,Banashankari
192,Yes,No,3.8,242,Casual Dining,Mangalorean,650.0,Banashankari
193,Yes,No,3.6,27,Dessert Parlor,Fast Food,250.0,Banashankari
194,Yes,No,4.1,163,Quick Bites,Continental,500.0,Banashankari
195,Yes,No,4.2,191,Quick Bites,Street Food,250.0,Banashankari
196,Yes,No,3.5,32,Quick Bites,Pizza,150.0,Banashankari
197,Yes,No,2.5,247,Casual Dining,North Indian,500.0,Banashankari
