,online_order,book_table,rating,votes,rest_type,cuisines,cost,location
0,0,0,4.1,775,0,0,800.0,0
1,0,1,4.1,787,0,1,800.0,0
2,0,1,3.8,918,1,2,800.0,0
3,1,1,3.7,88,2,3,300.0,0
4,1,1,3.8,166,0,0,600.0,0
5,0,1,3.8,286,0,0,600.0,0
6,1,1,3.6,8,0,0,800.0,0
7,0,0,4.6,2556,0,4,600.0,0
8,0,1,4.0,324,1,2,700.0,0
9,0,1,4.2,504,1,2,550.0,0
10,0,1,4.1,402,1,2,500.0,0
11,0,0,4.2,150,1,2,600.0,0
12,0,0,4.2,164,1,2,500.0,0
13,1,1,4.0,424,1,2,450.0,0
14,0,1,3.8,918,1,2,800.0,0
15,0,1,3.8,90,1,2,650.0,0
16,0,1,3.9,133,1,2,800.0,0
17,0,1,3.8,144,1,1,700.0,0
18,1,1,3.9,93,1,2,300.0,0
19,0,1,3.1,13,1,2,400.0,0
20,0,1,3.0,62,1,2,400.0,0
21,0,1,3.7,180,1,2,500.0,0
22,1,1,3.6,28,1,2,900.0,0
23,0,1,3.6,62,2,5,600.0,0
24,1,1,3.7,31,1,2,300.0,0
25,1,1,3.2,11,1,2,600.0,0
26,0,1,3.8,75,1,2,200.0,0
27,1,1,3.3,4,1,2,500.0,0
28,1,1,3.3,23,1,2,550.0,0
29,1,1,3.8,148,0,0,550.0,0
30,0,1,4.0,219,1,2,600.0,0
31,0,1,2.8,506,2,0,500.0,0
32,0,1,3.9,35,3,6,500.0,0
33,0,1,3.9,172,3,4,750.0,0
34,0,1,4.2,415,2,0,500.0,0
35,0,1,3.9,230,3,7,650.0,0
36,0,1,2.8,91,2,0,400.0,0
37,0,1,4.2,1647,0,1,600.0,0
38,0,1,4.4,4884,0,0,750.0,0
39,0,1,4.0,17,2,3,150.0,0
40,0,1,3.8,133,2,8,200.0,0
41,1,1,3.9,28,4,3,300.0,0
42,0,1,3.9,286,2,9,500.0,0
43,0,1,3.9,540,2,4,800.0,0
44,0,0,4.6,2556,0,4,600.0,0
45,1,1,3.8,36,3,0,400.0,0
46,0,1,3.6,244,2,0,300.0,0
47,0,1,4.0,804,0,0,450.0,0
48,0,1,3.7,679,0,1,850.0,0
49,0,1,3.1,245,2,0,300.0,0
50,1,1,3.7,21,2,0,450.0,0
51,0,1,4.1,28,2,10,150.0,0
52,1,1,4.3,345,5,11,400.0,0
53,0,1,4.0,618,0,7,750.0,0
54,1,1,4.0,1047,2,5,450.0,0
55,0,1,3.9,627,3,12,450.0,0
56,0,1,3.8,104,2,7,300.0,0
57,0,0,4.2,354,0,13,800.0,0
58,1,1,3.6,55,2,10,200.0,0
59,0,1,3.7,17,5,14,400.0,0
60,1,1,4.2,244,0,5,800.0,0
61,0,0,3.6,163,0,15,800.0,0
62,0,1,3.8,58,2,1,150.0,0
63,1,0,4.0,808,0,0,850.0,0
64,1,1,3.7,78,6,6,150.0,0
65,0,1,4.1,1720,2,0,400.0,0
66,0,1,3.6,34,2,3,100.0,0
67,1,1,4.1,868,7,16,1200.0,0
68,1,1,3.8,39,6,6,300.0,0
69,0,1,3.2,71,2,9,600.0,0
70,0,1,3.6,6,8,5,500.0,0
71,1,1,4.1,520,2,7,300.0,0
72,1,1,2.9,84,3,1,700.0,0
73,1,1,3.6,299,2,10,300.0,0
74,0,1,4.1,558,2,3,150.0,0
75,0,1,3.6,28,2,7,300.0,0
76,1,1,3.7,22,2,10,500.0,0
77,1,1,3.8,39,2,3,350.0,0
78,0,1,3.8,153,9,17,500.0,0
79,0,1,4.2,146,10,18,400.0,0
80,1,1,3.5,14,11,19,200.0,0
81,1,1,3.8,42,0,0,700.0,0
82,1,1,3.7,0,2,3,100.0,0
83,1,1,4.0,66,6,6,300.0,0
84,0,1,4.4,4401,0,7,600.0,0
85,1,1,3.5,31,2,0,200.0,0
86,1,1,3.5,7,5,14,500.0,0
87,1,1,3.7,21,2,7,250.0,0
88,1,1,3.7,0,3,6,500.0,0
89,1,1,3.7,0,8,3,400.0,0
90,1,1,3.7,0,4,3,200.0,0
91,1,1,3.2,9,5,11,300.0,0
92,1,1,2.6,283,0,0,600.0,0
93,1,1,3.3,62,12,3,800.0,0
94,1,1,3.8,64,2,10,250.0,0
95,1,1,3.7,39,0,0,950.0,0
96,1,1,3.7,65,2,10,300.0,0
97,0,1,3.8,71,5,11,400.0,0
98,1,1,3.5,52,2,3,300.0,0
99,1,1,3.7,130,2,3,200.0,0
100,1,1,3.5,10,2,3,300.0,0
101,1,1,3.8,45,8,6,400.0,0
102,1,1,3.2,11,1,2,600.0,0
103,1,1,3.5,13,6,6,300.0,0
104,1,1,3.4,8,2,7,300.0,0
105,1,1,3.7,0,8,18,250.0,0
106,1,1,3.2,9,2,7,300.0,0
107,1,1,3.2,4,2,0,300.0,0
108,1,1,3.1,29,2,0,150.0,0
109,1,1,3.4,8,6,6,400.0,0
110,1,1,3.7,0,5,19,150.0,0
111,1,1,3.7,0,6,6,300.0,0
112,1,1,3.7,0,2,0,200.0,0
113,1,1,3.7,0,8,3,150.0,0
114,1,1,3.7,0,5,11,150.0,0
115,1,1,3.7,0,2,20,250.0,0
116,1,1,3.1,30,12,1,1000.0,0
117,0,1,4.1,201,2,3,300.0,0
118,1,1,3.3,7,2,20,200.0,0
119,1,1,3.1,6,2,10,100.0,0
120,1,1,3.3,17,2,8,200.0,0
121,1,1,2.9,25,5,11,200.0,0
122,1,1,3.7,0,3,3,400.0,0
123,1,1,3.7,0,2,7,350.0,0
124,1,1,3.3,8,3,3,100.0,0
125,1,1,3.7,0,2,21,150.0,0
126,1,1,3.7,0,2,3,150.0,0
127,1,1,3.7,0,10,18,200.0,0
128,1,1,3.7,0,10,18,150.0,0
129,1,1,3.7,0,8,3,400.0,0
130,1,1,3.7,0,2,3,150.0,0
131,1,1,3.7,0,2,22,250.0,0
132,1,1,3.7,0,2,7,250.0,0
133,1,1,3.7,0,2,3,150.0,0
134,1,1,3.7,0,13,14,200.0,0
135,1,1,3.7,0,2,12,350.0,0
136,1,1,3.7,0,2,3,300.0,0
137,0,1,4.0,771,0,3,450.0,0
138,1,1,3.0,98,12,0,800.0,0
139,0,1,3.9,47,2,3,200.0,0
140,0,0,4.1,175,0,3,500.0,0
141,0,1,3.8,58,2,3,300.0,0
142,0,1,3.8,540,0,0,650.0,0
143,0,1,3.8,124,2,1,400.0,0
144,0,1,4.1,340,8,0,500.0,0
145,0,1,3.8,505,2,9,450.0,0
146,0,1,4.1,438,5,14,500.0,0
147,0,1,3.7,264,0,0,750.0,0
148,0,1,3.9,169,10,18,150.0,0
149,0,1,3.0,67,2,0,250.0,0
150,0,1,3.7,97,2,0,350.0,0
151,0,1,3.3,12,8,7,300.0,0
152,0,1,3.3,12,2,7,300.0,0
153,0,1,3.6,195,0,1,800.0,0
154,0,1,3.3,13,5,14,300.0,0
155,0,1,4.6,228,1,2,400.0,0
156,0,1,4.1,70,2,3,150.0,0
157,0,0,4.1,364,0,23,1200.0,0
158,0,1,3.7,107,10,18,150.0,0
159,0,1,3.2,167,2,3,300.0,0
160,0,1,4.0,115,11,19,400.0,0
161,0,1,3.7,27,8,5,400.0,0
162,0,1,3.5,57,2,7,200.0,0
163,0,1,3.8,120,2,0,250.0,0
164,0,1,3.8,15,6,6,400.0,0
165,0,1,4.2,64,2,24,500.0,0
166,0,1,3.6,66,2,3,150.0,0
167,0,1,3.0,290,2,0,450.0,0
168,0,1,4.1,233,2,8,200.0,0
169,0,1,3.8,115,2,10,250.0,0
170,0,1,3.1,119,0,7,700.0,0
171,0,0,3.9,291,1,2,650.0,0
172,0,1,4.5,155,10,18,300.0,0
173,0,1,4.1,305,0,5,700.0,0
174,0,1,3.6,46,2,10,500.0,0
175,0,1,3.5,45,2,25,350.0,0
176,0,1,3.9,38,5,11,150.0,0
177,0,1,3.9,441,2,3,400.0,0
178,0,1,3.9,25,2,3,100.0,0
179,0,1,4.3,630,2,0,200.0,0
180,0,1,3.8,25,2,3,150.0,0
181,0,1,3.9,160,2,26,300.0,0
182,0,1,4.2,287,2,0,350.0,0
183,0,1,3.6,11,2,3,100.0,0
184,0,1,4.1,402,1,2,500.0,0
185,0,1,3.8,469,0,0,750.0,0
186,0,1,3.3,511,0,27,550.0,0
187,0,1,3.9,57,2,3,200.0,0
188,0,1,3.4,14,2,3,300.0,0
189,0,1,3.9,264,2,3,200.0,0
190,0,1,3.0,62,1,2,400.0,0
191,0,1,3.8,693,0,4,750.0,0
192,0,1,3.8,242,0,20,650.0,0
193,0,1,3.6,27,5,10,250.0,0
194,0,1,4.1,163,2,16,500.0,0
195,0,1,4.2,191,2,8,250.0,0
196,0,1,3.5,32,2,4,150.0,0
197,0,1,2.5,247,0,0,500.0,0
198,0,0,4.1,2339,0,0,1500.0,0
199,0,1,4.1,337,2,1,300.0,0
200,0,1,3.9,135,0,0,800.0,0
